epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,50.0631,1.19616,4.954,1.87264,0,0,0,0,1.9536,4.98806,2.11806,2.96935e-05,2.96935e-05,2.96935e-05
47,51.1685,1.13223,4.88338,1.59145,0,0,0,0,1.9464,4.98932,2.13143,2.98114e-05,2.98114e-05,2.98114e-05
48,52.5671,1.29427,4.93221,1.70054,0,0,0,0,1.9464,4.98932,2.13143,2.99058e-05,2.99058e-05,2.99058e-05
49,53.5515,1.3356,4.92229,1.66803,0,0,0,0,1.96493,4.99609,2.15493,2.99766e-05,2.99766e-05,2.99766e-05
50,54.6685,1.23093,4.72136,1.60696,0,0,0,0,1.96493,4.99609,2.15493,3.00238e-05,3.00238e-05,3.00238e-05
51,56.4449,2.01401,5.17825,2.14328,0,0,0,0,1.94093,4.98241,2.14675,3.00475e-05,3.00475e-05,3.00475e-05
52,57.4744,1.89647,5.00785,2.11891,0,0,0,0,1.94093,4.98241,2.14675,3.00476e-05,3.00476e-05,3.00476e-05
53,58.4531,1.38427,4.90137,1.83456,0,0,0,0,1.94093,4.98241,2.14675,3.00242e-05,3.00242e-05,3.00242e-05
54,59.5471,1.39256,4.98241,1.70679,0,0,0,0,1.92432,4.97421,2.14321,2.99772e-05,2.99772e-05,2.99772e-05
55,60.9208,1.58367,4.82253,1.81358,0,0,0,0,1.92432,4.97421,2.14321,2.99066e-05,2.99066e-05,2.99066e-05
56,62.1399,1.56979,4.84278,1.74661,0,0,0,0,1.92432,4.97421,2.14321,2.98125e-05,2.98125e-05,2.98125e-05
57,63.5897,1.72781,5.16525,1.95234,0,0,0,0,1.91609,4.95978,2.12835,2.96948e-05,2.96948e-05,2.96948e-05
58,64.5684,1.1793,4.7049,1.58642,0,0,0,0,1.91609,4.95978,2.12835,2.95535e-05,2.95535e-05,2.95535e-05
59,65.4736,1.0463,4.69023,1.43411,0,0,0,0,1.91609,4.95978,2.12835,2.93887e-05,2.93887e-05,2.93887e-05
60,66.5433,0.9832,4.7574,1.41809,0,0,0,0,1.92324,4.96825,2.12949,2.92003e-05,2.92003e-05,2.92003e-05
61,67.5639,1.903,5.08124,2.27611,0,0,0,0,1.92324,4.96825,2.12949,2.89884e-05,2.89884e-05,2.89884e-05
62,68.4777,1.35411,4.86715,1.68152,0,0,0,0,1.92324,4.96825,2.12949,2.87529e-05,2.87529e-05,2.87529e-05
63,69.4596,1.29562,4.76338,1.85881,0,0,0,0,1.91378,4.96909,2.13346,2.84938e-05,2.84938e-05,2.84938e-05
64,70.4088,1.60172,4.89158,1.76859,0,0,0,0,1.91378,4.96909,2.13346,2.82112e-05,2.82112e-05,2.82112e-05
65,71.3863,1.4705,4.9454,1.68731,0,0,0,0,1.91378,4.96909,2.13346,2.7905e-05,2.7905e-05,2.7905e-05
66,72.5267,1.60154,4.93972,1.9568,0,0,0,0,1.93858,4.97447,2.14639,2.75753e-05,2.75753e-05,2.75753e-05
67,73.7349,1.20998,4.8249,1.67173,0,0,0,0,1.93858,4.97447,2.14639,2.7222e-05,2.7222e-05,2.7222e-05
68,74.7247,1.58316,4.96616,1.87421,0,0,0,0,1.93858,4.97447,2.14639,2.68451e-05,2.68451e-05,2.68451e-05
69,75.708,1.24204,4.7027,1.80163,0,0,0,0,1.95836,4.98156,2.17672,2.64447e-05,2.64447e-05,2.64447e-05
